sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url,source_item_id,language
ഈജിപ്തും സുഡാനും തമ്മിൽ തർക്കമുള്ളതും ഈജിപ്ത് ഭരിക്കുന്നതുമായ വടക്കുകിഴക്കൻ ആഫ്രിക്കയിലെ ത്രികോണാകൃതിയിലുള്ള പ്രദേശം.,no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614,332917270763f114,ml
സ്വകാര്യ ടെന്നിസ് പാഠങ്ങൾ ലഭ്യമാണ്.,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064,9aac252603938bf9,ml
ഈ പ്രദേശത്തുള്ള പലതിൽ ഒന്നാണ്.,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915,8b35cc09a4fcea4c,ml
"11,000 മീറ്റർ ഉയരത്തിൽ പറക്കുന്നതിനിടെ റേ മാർട്ടിൻ യാദൃശ്ചികമായി കണ്ടെത്തിയത്.",no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915,e52f2c6daf4c67e0,ml
ചൂടുനീരുറവകൾക്കുള്ള വസ്ത്രമാറ്റുമുറി,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923,dbaf8c246c238ba4,ml
"“We of the Never Never” എന്ന സിനിമ/പുസ്തകത്തിൽ പരാമർശിക്കപ്പെട്ട ചില പുരുഷന്മാർ: ഏനിയസ് ജെയിംസ് ഗൺ, ദ മലൂക്ക, ജോൺ മക്ലെന്നൻ, ടോം പിയേഴ്സ്, ജെ. എച്ച്. ജോർജ് കോൺവേ, വില്യം ക്ലിയറി, ജാക്ക് ആംഗസ് ഗ്രാന്റ്, എഡ്വേഡ് ലിഡിൽ.",no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688,a4b350fa988b3ed7,ml
കോപ്പൻ–ഗൈഗർ കാലാവസ്ഥാ വർഗീകരണ സംവിധാനത്തിൽ BW ആയി വർഗീകരിച്ച ഓസ്‌ട്രേലിയൻ ഭൂഖണ്ഡത്തിന്റെ ഭാഗങ്ങൾ.,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873,625e874a2fcd67a6,ml
ഈ ഘടനയുടെ ഒരു മൂല ഇല്ലാത്തതുപോലെ തോന്നുന്നു.,no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727,9a79fc0926438312,ml
അതിഥിഗൃഹം,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759,083f49bdf6a21995,ml
പ്രാദേശിക കലാകാരന്മാർ നിർമ്മിച്ച കരകൗശല വസ്തുക്കൾ വിൽക്കുന്നു.,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154,411885f8b3daaeb5,ml
