sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url,source_item_id,language
በሰሜን ምሥራቅ አፍሪካ የሚገኝ፣ በግብፅና በሱዳን የሚከራከሩበት እና በግብፅ የሚተዳደር ሶስት ማዕዘን ቅርጽ ያለው ግዛት።,no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614,332917270763f114,am
የግል የቴኒስ ትምህርቶች ይሰጣሉ።,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064,9aac252603938bf9,am
በአካባቢው ካሉት ብዙ ቦታዎች አንዱ።,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915,8b35cc09a4fcea4c,am
"በ11,000 ሜትር ከፍታ ላይ በረራ ላይ ሳለ በRay Martin በአጋጣሚ ተገኘ።",no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915,e52f2c6daf4c67e0,am
ለሙቅ ምንጮች የመልበሻ ክፍል።,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923,dbaf8c246c238ba4,am
በ“We of the Never Never” ፊልም/መጽሐፍ የተጠቀሱ በርካታ ወንዶች፦ Aeneas James Gunn፣ The Maluka፣ John McLennan፣ Tom Pearce፣ J.H. George Conway፣ William Cleary፣ Jack Angus Grant እና Edward Liddle።,no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688,a4b350fa988b3ed7,am
በKöppen–Geiger የአየር ንብረት ምደባ ሥርዓት BW ተብለው የተመደቡት የአውስትራሊያ ዋና ምድር ክፍሎች።,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873,625e874a2fcd67a6,am
በመዋቅሩ ላይ አንድ ጥግ የጎደለ ይመስላል።,no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727,9a79fc0926438312,am
የእንግዳ ማረፊያ።,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759,083f49bdf6a21995,am
በአካባቢው አርቲስቶች የተሠሩ የእጅ ጥበብ ውጤቶችን ይሸጣል።,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154,411885f8b3daaeb5,am
በውስጡ ዘመናዊ ዕቃዎችና የደረጃው ክብ አዳራሽ ተጠብቀዋል።,no,"Beer, Sondheimer & Co. Gebäude",831faefffffffff,50.1159844,8.6676173,description,hessen,https://www.openstreetmap.org/way/42730588,6b03f260f8e42fab,am
ኤሌክትሪክ በኩዊንስላንድ፣ አውስትራሊያ በኬፕ ዮርክ ባሕረ ገብ መሬት ምዕራባዊ ክፍል የሚገኘውን የWeipa ባውክሳይት ማዕድን፣ የማቀነባበሪያ ተቋማቱንና ከተማዋን ያገለግላል።,no,Weipa Solar Farm,839ce4fffffffff,-12.64685385,141.85648745,description,australia,https://www.openstreetmap.org/way/1229842269,1c891733227be641,am
ለምርምር ተማሪዎች።,no,ABU Institute lib,835818fffffffff,11.15120385,7.65502275,description,nigeria,https://www.openstreetmap.org/way/483941738,45361615e390b1a7,am
የብረት ቆሻሻ ወይም እንዲህ ያለ ነገር?,no,,83540cfffffffff,15.16910425,-12.176872849999999,description,mauritania,https://www.openstreetmap.org/way/1079848653,8dfac4a3dba8ddef,am
የአውሮፕላን ማረፊያ መስመር?,yes,Airstrip,8352e6fffffffff,15.22977665,44.983853100000005,description,yemen,https://www.openstreetmap.org/way/798881102,e589688820307ef6,am
ከ1966 እስከ 1989 ድረስ በቀድሞዋ ሶቪየት ሕብረት የተጣለ የኑክሌር ቆሻሻ።,no,,830111fffffffff,72.5,35.0,description,russia-northwestern-fed-district,https://www.openstreetmap.org/relation/11285920,e9088cc3698b77f3,am
ወደ አሰሳ ዝለል።,no,Launchpad 41/15,8321a9fffffffff,45.9736039,63.66350095,description,kazakhstan,https://www.openstreetmap.org/way/169401013,e316f8b8e6426ef9,am
በሰኔ 2019 ተከፈተ።,no,Trison,8372d6fffffffff,-4.262987799999999,139.68465105,description,indonesia-papua,https://www.openstreetmap.org/way/767407882,e0c46181d6f78444,am
ፕላያ።,yes,,8338d4fffffffff,26.347407500000003,1.4621255,description,algeria,https://www.openstreetmap.org/way/1251874682,4d89e54803598cc9,am
የቀድሞው የHoly Name Retreat House ቦታ፤ በGreen Bay የካቶሊክ ሀገረ ስብከት ባለቤትነትና አስተዳደር ሥር ነበር።,no,,832740fffffffff,45.19913735,-87.34064065,description,us-wisconsin,https://www.openstreetmap.org/relation/11195573,ef1b719ae03b0453,am
ሥነ ጥበብና መዝናኛ፣ የዳንስ ትምህርት ቤቶች፣ የዳንስ ስቱዲዮዎች፣ የልጆች እንቅስቃሴዎች፣ የሙዚቃ ትምህርት ቤቶች፣ ትርፍ የማያስገኙ ድርጅቶች፣ የግል ትምህርት ቤቶች፣ የግል አስተማሪዎች፣ የሕዝብ ሥነ ጥበብ፣ የወጣቶች ክለብ።,no,San Angelo Broadway Academy,83488afffffffff,31.4527921,-100.46448895,description,us-texas,https://www.openstreetmap.org/way/782694783,27f525c411d99115,am
ከM’hamid El Ghizlane የኦአሲስ ከተማ የ20 ደቂቃ የእግር ጉዞ ርቀት ላይ ይገኛል።,no,Desert Camp Chraika,8338a4fffffffff,29.8385325,-5.7381302000000005,description,morocco,https://www.openstreetmap.org/way/1175183601,3e235c9d8355bc59,am
ታላላቅ ጸሎቶች።,no,2nd biggest Mosque,8358b5fffffffff,9.454903250000001,0.81155555,description,togo,https://www.openstreetmap.org/way/403445668,51f860d83e26c40a,am
ለመዋኘት በጣም ጥሩ ቦታ።,no,Jhaji Beach,83640bfffffffff,11.388757049999999,92.5899435,description,india-southern-zone,https://www.openstreetmap.org/relation/9964540,42cbd0df454cc48c,am
ነፃ እንቅስቃሴ የሚካሄድበት የተሸፈነ ቦታ።,yes,,83a813fffffffff,-22.95501775,-47.054361,description,brazil-sudeste,https://www.openstreetmap.org/way/548704198,49b3ad4c9313791f,am
