sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url,source_item_id,language
"ਉੱਤਰ-ਪੂਰਬੀ ਅਫ਼ਰੀਕਾ ਵਿੱਚ ਤਿਕੋਣਾਕਾਰ ਇਲਾਕਾ, ਜਿਸ 'ਤੇ ਮਿਸਰ ਅਤੇ ਸੁਡਾਨ ਦੋਵੇਂ ਦਾਅਵਾ ਕਰਦੇ ਹਨ ਅਤੇ ਜਿਸ ਦਾ ਪ੍ਰਸ਼ਾਸਨ ਮਿਸਰ ਕਰਦਾ ਹੈ।",no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614,332917270763f114,pa
ਨਿੱਜੀ ਟੈਨਿਸ ਦੇ ਪਾਠ ਉਪਲਬਧ ਹਨ।,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064,9aac252603938bf9,pa
ਇਲਾਕੇ ਵਿੱਚ ਮੌਜੂਦ ਕਈ ਥਾਵਾਂ ਵਿੱਚੋਂ ਇੱਕ।,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915,8b35cc09a4fcea4c,pa
"11,000 ਮੀਟਰ ਦੀ ਉਚਾਈ 'ਤੇ ਉੱਡਦੇ ਸਮੇਂ Ray Martin ਨੇ ਇਸਨੂੰ ਇਤਫ਼ਾਕਨ ਖੋਜਿਆ।",no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915,e52f2c6daf4c67e0,pa
ਗਰਮ ਚਸ਼ਮਿਆਂ ਲਈ ਕੱਪੜੇ ਬਦਲਣ ਦਾ ਕਮਰਾ,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923,dbaf8c246c238ba4,pa
"ਫ਼ਿਲਮ/ਕਿਤਾਬ ""We of the Never Never"" ਵਿੱਚ ਜ਼ਿਕਰ ਕੀਤੇ ਕਈ ਆਦਮੀ: Aeneas James Gunn, The Maluka, John McLennan, Tom Pearce, J.H. George Conway, William Cleary, Jack Angus Grant, Edward Liddle।",no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688,a4b350fa988b3ed7,pa
Köppen–Geiger ਜਲਵਾਯੂ ਵਰਗੀਕਰਨ ਪ੍ਰਣਾਲੀ ਵਿੱਚ BW ਵਜੋਂ ਵਰਗੀਕ੍ਰਿਤ ਆਸਟ੍ਰੇਲੀਆਈ ਮੁੱਖ-ਭੂਮੀ ਦੇ ਹਿੱਸੇ।,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873,625e874a2fcd67a6,pa
ਲੱਗਦਾ ਹੈ ਕਿ ਢਾਂਚੇ ਵਿੱਚੋਂ ਇੱਕ ਕੋਨਾ ਗੁੰਮ ਹੈ।,no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727,9a79fc0926438312,pa
ਮਹਿਮਾਨ-ਘਰ,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759,083f49bdf6a21995,pa
ਸਥਾਨਕ ਕਲਾਕਾਰਾਂ ਵੱਲੋਂ ਬਣਾਈਆਂ ਹਸਤ-ਕਲਾਵਾਂ ਵੇਚਦਾ ਹੈ।,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154,411885f8b3daaeb5,pa
ਅੰਦਰਲੇ ਸਮਕਾਲੀ ਸਾਜ-ਸਮਾਨ ਅਤੇ ਸੀੜ੍ਹੀਆਂ ਵਾਲਾ ਰੋਟੁੰਡਾ ਸੰਭਾਲੇ ਹੋਏ ਹਨ।,no,"Beer, Sondheimer & Co. Gebäude",831faefffffffff,50.1159844,8.6676173,description,hessen,https://www.openstreetmap.org/way/42730588,6b03f260f8e42fab,pa
"ਬਿਜਲੀ Queensland, Australia ਵਿੱਚ Cape York Peninsula ਦੇ ਪੱਛਮੀ ਪਾਸੇ ਸਥਿਤ Weipa ਬਾਕਸਾਈਟ ਖਾਣ, ਪ੍ਰੋਸੈਸਿੰਗ ਸਹੂਲਤਾਂ ਅਤੇ ਟਾਊਨਸ਼ਿਪ ਨੂੰ ਸਹਾਰਾ ਦਿੰਦੀ ਹੈ।",no,Weipa Solar Farm,839ce4fffffffff,-12.64685385,141.85648745,description,australia,https://www.openstreetmap.org/way/1229842269,1c891733227be641,pa
ਖੋਜ ਕਰ ਰਹੇ ਵਿਦਿਆਰਥੀਆਂ ਲਈ,no,ABU Institute lib,835818fffffffff,11.15120385,7.65502275,description,nigeria,https://www.openstreetmap.org/way/483941738,45361615e390b1a7,pa
ਕਬਾੜ ਧਾਤ ਜਾਂ ਕੁਝ ਇਸ ਤਰ੍ਹਾਂ?,no,,83540cfffffffff,15.16910425,-12.176872849999999,description,mauritania,https://www.openstreetmap.org/way/1079848653,8dfac4a3dba8ddef,pa
ਹਵਾਈ ਪੱਟੀ?,yes,Airstrip,8352e6fffffffff,15.22977665,44.983853100000005,description,yemen,https://www.openstreetmap.org/way/798881102,e589688820307ef6,pa
1966 ਤੋਂ 1989 ਤੱਕ ਸਾਬਕਾ USSR ਵੱਲੋਂ ਡੁੱਬਾਇਆ ਗਿਆ ਪਰਮਾਣੂ ਕਚਰਾ,no,,830111fffffffff,72.5,35.0,description,russia-northwestern-fed-district,https://www.openstreetmap.org/relation/11285920,e9088cc3698b77f3,pa
ਨੇਵੀਗੇਸ਼ਨ 'ਤੇ ਜਾਓ,no,Launchpad 41/15,8321a9fffffffff,45.9736039,63.66350095,description,kazakhstan,https://www.openstreetmap.org/way/169401013,e316f8b8e6426ef9,pa
ਜੂਨ 2019 ਵਿੱਚ ਖੁੱਲ੍ਹਿਆ,no,Trison,8372d6fffffffff,-4.262987799999999,139.68465105,description,indonesia-papua,https://www.openstreetmap.org/way/767407882,e0c46181d6f78444,pa
ਸੁੱਕੀ ਝੀਲ ਦਾ ਮੈਦਾਨ,yes,,8338d4fffffffff,26.347407500000003,1.4621255,description,algeria,https://www.openstreetmap.org/way/1251874682,4d89e54803598cc9,pa
Holy Name Retreat House ਦੀ ਪੁਰਾਣੀ ਥਾਂ; ਇਸ ਦੀ ਮਲਕੀਅਤ ਅਤੇ ਚਲਾਉਣ Catholic Diocese of Green Bay ਕੋਲ ਸੀ।,no,,832740fffffffff,45.19913735,-87.34064065,description,us-wisconsin,https://www.openstreetmap.org/relation/11195573,ef1b719ae03b0453,pa
"ਕਲਾ ਅਤੇ ਮਨੋਰੰਜਨ, ਨਾਚ ਸਕੂਲ, ਨਾਚ ਸਟੂਡੀਓ, ਬੱਚਿਆਂ ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਸੰਗੀਤ ਸਕੂਲ, ਗੈਰ-ਮੁਨਾਫ਼ਾ ਸੰਸਥਾਵਾਂ, ਨਿੱਜੀ ਸਕੂਲ, ਨਿੱਜੀ ਅਧਿਆਪਕ, ਜਨਤਕ ਕਲਾ, ਯੂਥ ਕਲੱਬ",no,San Angelo Broadway Academy,83488afffffffff,31.4527921,-100.46448895,description,us-texas,https://www.openstreetmap.org/way/782694783,27f525c411d99115,pa
ਇਹ oasis town M’hamid El Ghizlane ਤੋਂ 20 ਮਿੰਟ ਦੀ ਪੈਦਲ ਦੂਰੀ 'ਤੇ ਸਥਿਤ ਹੈ।,no,Desert Camp Chraika,8338a4fffffffff,29.8385325,-5.7381302000000005,description,morocco,https://www.openstreetmap.org/way/1175183601,3e235c9d8355bc59,pa
ਵੱਡੀਆਂ ਪ੍ਰਾਰਥਨਾਵਾਂ,no,2nd biggest Mosque,8358b5fffffffff,9.454903250000001,0.81155555,description,togo,https://www.openstreetmap.org/way/403445668,51f860d83e26c40a,pa
ਤੈਰਨ ਲਈ ਵਧੀਆ ਥਾਂ।,no,Jhaji Beach,83640bfffffffff,11.388757049999999,92.5899435,description,india-southern-zone,https://www.openstreetmap.org/relation/9964540,42cbd0df454cc48c,pa
ਢੱਕਿਆ ਹੋਇਆ ਮੁਫ਼ਤ ਗਤੀਵਿਧੀ ਖੇਤਰ,yes,,83a813fffffffff,-22.95501775,-47.054361,description,brazil-sudeste,https://www.openstreetmap.org/way/548704198,49b3ad4c9313791f,pa
ਠੀਕ NW (550 ਮੀਟਰ ਵਰਤਣਯੋਗ),no,Pibor Airport,836a46fffffffff,6.79846435,33.126115299999995,description,south-sudan,https://www.openstreetmap.org/way/254760296,06ad8bca5b9e0ace,pa
ਛੱਡਿਆ ਹੋਇਆ,no,BLC Gas Station,836940fffffffff,15.336570649999999,119.96618345,description,philippines,https://www.openstreetmap.org/way/1080703682,5e6b5a174f4e6e8a,pa
"ਸਥਾਨਕ ਡੈਲੀ ਜੋ ਪੂਰਾ ਨਾਸ਼ਤਾ, ਤਾਜ਼ਾ ਪੱਕੀ ਰੋਟੀ ਵਾਲੇ ਸੈਂਡਵਿਚ ਅਤੇ ਘਰ ਵਿੱਚ ਬਣੇ ਵੱਖ-ਵੱਖ ਸਲਾਦ ਪਰੋਸਦੀ ਹੈ।",no,Calabash Deli,832ad3fffffffff,33.8911925,-78.5662103,description,us-north-carolina,https://www.openstreetmap.org/way/349880224,081a02879c3a55a9,pa
ਬਰਗਰ ਅਤੇ ਬੀਅਰ,no,Kite Cable Cafe.,836589fffffffff,12.388952450000001,99.96708555000001,description,thailand,https://www.openstreetmap.org/way/321076261,5d7dd65f62b249e5,pa
"ਦਿਨ ਵਿੱਚ ਕੇਵਲ 4 ਅਸੁਵਿਧਾਜਨਕ ਘੰਟਿਆਂ ਲਈ ਸ਼ਾਵਰ ਉਪਲਬਧ ਹਨ (9–11, 21–23)।",no,Rada Tilly Camping Municipal,83cf9efffffffff,-45.91740615,-67.55084740000001,description,argentina,https://www.openstreetmap.org/way/496391696,a50fa7112a365a2a,pa
ਛੱਡਿਆ ਹੋਇਆ,no,,830a2efffffffff,66.45463755,86.05173195,description,russia-siberian-fed-district,https://www.openstreetmap.org/way/204214264,f43bc8a1b83a25b4,pa
"ਇਸ ਖੇਤਰ ਦੇ ਅੰਦਰ ਪਾਬੰਦੀਆਂ ਅਤੇ ਮਨਾਹੀਸ਼ੁਦਾ ਗਤੀਵਿਧੀਆਂ ਲਈ, ਸਮੁੰਦਰੀ ਯਾਤਰੀਆਂ ਨੂੰ Niuē Maritime Zones Act 2013 ਦੇ ਅਨੁਸਾਰ Niuē Moana Mahu Marine Protected Area Regulations 2020 ਵੇਖਣ ਦੀ ਸਲਾਹ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ।",no,Niuē Moana Mahu Marine Protected Area,839ba5fffffffff,-20.3330657,-168.2733568,description,niue,https://www.openstreetmap.org/relation/13460178,f5a9a17080054b5e,pa
2 ਵਿਅਕਤੀਆਂ ਲਈ ਸੇਵਾ ਸ਼ੁਲਕ ਸਮੇਤ ਫੀਸ: Rs. 5889.15,no,National Park Office - Marine Park - Pigeon Island,836113fffffffff,8.69350235,81.1947702,description,sri-lanka,https://www.openstreetmap.org/way/658409583,930bf4390a6004ac,pa
ਪਾਣੀ ਗਰਮ ਕਰਨਾ,no,Mariental Abattoir Solar Water Heating,83ad9dfffffffff,-24.560816350000003,17.9620812,description,namibia,https://www.openstreetmap.org/way/1085106308,4220b789641c75b1,pa
ਸੰਭਵ ਹੈ ਕਿ ਢਾਂਚਾ ਹੁਣ ਮੌਜੂਦ ਨਾ ਹੋਵੇ।,no,,836ac0fffffffff,1.0821684999999999,30.2394529,description,congo-democratic-republic,https://www.openstreetmap.org/way/635454166,b0fb6cddcdf4244e,pa
ਜਨਤਾ ਲਈ ਖੁੱਲ੍ਹਾ;,no,Swenson Forest Preserve,832754fffffffff,46.856983549999995,-91.09465929999999,description,us-wisconsin,https://www.openstreetmap.org/relation/10768565,da998f3729b6db77,pa
ਗੁੰਝਲਦਾਰ ਧਾਰਾ-ਮਾਰਗ,no,,8359a2fffffffff,15.67243465,-2.1903658999999998,description,mali,https://www.openstreetmap.org/way/683188553,42fcf317b6e0d476,pa
ਸਰਦੀਆਂ ਵਿੱਚ ਕੋਈ ਸੇਵਾਵਾਂ ਨਹੀਂ,no,Mobilstellplatz Ottenschlag,831e33fffffffff,48.4239068,15.2275785,description,austria,https://www.openstreetmap.org/way/1433377208,ec1b06bffd05a147,pa
ਨਵੀਂ ਬਣੀ ਇਮਾਰਤ,no,,839621fffffffff,-15.7420654,28.1708032,description,zambia,https://www.openstreetmap.org/way/508424914,f6254e484fc4012a,pa
ਤਿੰਨ ਸੁਤੰਤਰ ਕਮਰੇ ਕਿਰਾਏ 'ਤੇ ਦਿਓ,no,Casa El Chechy,834430fffffffff,22.616627049999998,-83.7097584,description,cuba,https://www.openstreetmap.org/way/655181725,c9273b8b3965b330,pa
2010 ਵਿੱਚ ਮੂੰਗੇ ਦੀ ਚੱਟਾਨ ਨਾਲ ਟਕਰਾ ਗਿਆ,no,Nand Aparajita,836008fffffffff,10.54110005,72.61883485,description,india-southern-zone,https://www.openstreetmap.org/way/1481582099,07c5371c1c77df1c,pa
ਟ੍ਰੈਕ ਅਤੇ ਫੁੱਟਬਾਲ ਮੈਦਾਨ?,yes,,832e01fffffffff,39.4783446,141.9493776,description,japan-tohoku,https://www.openstreetmap.org/way/929335762,f3b92f514916209a,pa
ਨੀਦਰਲੈਂਡਜ਼ ਦੇ ਰਾਜ ਦਾ ਸੰਘਟਕ ਦੇਸ਼।,no,Aruba,836773fffffffff,12.54041475,-69.9654068,description,venezuela,https://www.openstreetmap.org/relation/1231749,ada65a916e621803,pa
2019 ਵਿੱਚ Pieridae Energy ਵੱਲੋਂ ਹਾਸਲ ਕੀਤਾ ਗਿਆ,no,Waterton Gas Plant,8312c8fffffffff,49.307058049999995,-114.00047065,description,canada-alberta,https://www.openstreetmap.org/way/685968468,ec53bd73a7830fe1,pa
"ਇਹ VAB ਦਾ ਸਭ ਤੋਂ ਉੱਚਾ ਹਿੱਸਾ ਹੈ, ਅਤੇ JAXA ਦੇ ਅਨੁਸਾਰ: “VAB 81 ਮੀਟਰ ਉੱਚਾ, 64 ਮੀਟਰ ਚੌੜਾ ਅਤੇ 34.5 ਮੀਟਰ ਡੂੰਘਾ ਹੈ।”",no,,834b73fffffffff,30.40357835,130.97348465,description,japan-kyushu,https://www.openstreetmap.org/way/874877644,d51fed9ce5233386,pa
ਘਰ ਦੇ ਨਾਲ ਬਾਹਰਲੀ ਇਮਾਰਤ,yes,,836488fffffffff,17.713385350000003,95.20114095,description,myanmar,https://www.openstreetmap.org/way/690726088,5d9aaa49dc85073f,pa
WYSEF ਲਈ ਇਮਾਰਤ,yes,WYSEF Building,832896fffffffff,44.6574896,-111.1083461,description,us-montana,https://www.openstreetmap.org/way/1337238568,fbbead90db822e4b,pa
Makgadikgadi Pans ਦੁਨੀਆ ਦਾ ਸਭ ਤੋਂ ਵੱਡਾ ਲੂਣੀ ਮੈਦਾਨੀ ਸਮੂਹ ਹੈ।,yes,Ntwetwe Pan,839746fffffffff,-20.529714,25.24333895,description,botswana,https://www.openstreetmap.org/relation/9468993,9fe96f2d3391781b,pa
ਸਰਗਰਮ ਆਵਾਜਾਈ ਨਿਗਰਾਨੀ ਹੇਠ ਖੇਤਰ,no,,833865fffffffff,39.05822685,8.4700571,description,italy,https://www.openstreetmap.org/way/973150204,16813ea64ca047e0,pa
