sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url,source_item_id,language
"Territori triangular al nord-est d'Àfrica, disputat per Egipte i el Sudan i administrat per Egipte.",no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614,332917270763f114,ca
S'ofereixen classes particulars de tennis.,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064,9aac252603938bf9,ca
Un dels diversos que hi ha a la zona.,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915,8b35cc09a4fcea4c,ca
Descobert per casualitat per Ray Martin mentre sobrevolava la zona a 11.000 metres.,no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915,e52f2c6daf4c67e0,ca
Vestuari per a les aigües termals,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923,dbaf8c246c238ba4,ca
"Diversos homes esmentats a la pel·lícula/llibre «We of the Never Never»: Aeneas James Gunn, The Maluka, John McLennan, Tom Pearce, J. H. George Conway, William Cleary, Jack Angus Grant, Edward Liddle.",no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688,a4b350fa988b3ed7,ca
Les parts de l'Austràlia continental classificades com a BW en el sistema de classificació climàtica de Köppen–Geiger.,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873,625e874a2fcd67a6,ca
Sembla que falta una cantonada de l'estructura.,no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727,9a79fc0926438312,ca
Casa d'hostes,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759,083f49bdf6a21995,ca
Ven artesania feta per artistes locals.,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154,411885f8b3daaeb5,ca
"A l'interior, s'han conservat el mobiliari contemporani i la rotonda de l'escala.",no,"Beer, Sondheimer & Co. Gebäude",831faefffffffff,50.1159844,8.6676173,description,hessen,https://www.openstreetmap.org/way/42730588,6b03f260f8e42fab,ca
"L'electricitat dona servei a la mina de bauxita de Weipa, les instal·lacions de processament i el municipi situat al costat occidental de la península del cap York, a Queensland, Austràlia.",no,Weipa Solar Farm,839ce4fffffffff,-12.64685385,141.85648745,description,australia,https://www.openstreetmap.org/way/1229842269,1c891733227be641,ca
per a estudiants de recerca,no,ABU Institute lib,835818fffffffff,11.15120385,7.65502275,description,nigeria,https://www.openstreetmap.org/way/483941738,45361615e390b1a7,ca
Ferralla o alguna cosa semblant?,no,,83540cfffffffff,15.16910425,-12.176872849999999,description,mauritania,https://www.openstreetmap.org/way/1079848653,8dfac4a3dba8ddef,ca
Pista d'aterratge?,yes,Airstrip,8352e6fffffffff,15.22977665,44.983853100000005,description,yemen,https://www.openstreetmap.org/way/798881102,e589688820307ef6,ca
Residus nuclears abocats per l'antiga URSS entre 1966 i 1989,no,,830111fffffffff,72.5,35.0,description,russia-northwestern-fed-district,https://www.openstreetmap.org/relation/11285920,e9088cc3698b77f3,ca
Vés a la navegació,no,Launchpad 41/15,8321a9fffffffff,45.9736039,63.66350095,description,kazakhstan,https://www.openstreetmap.org/way/169401013,e316f8b8e6426ef9,ca
Obert el juny de 2019,no,Trison,8372d6fffffffff,-4.262987799999999,139.68465105,description,indonesia-papua,https://www.openstreetmap.org/way/767407882,e0c46181d6f78444,ca
platja,yes,,8338d4fffffffff,26.347407500000003,1.4621255,description,algeria,https://www.openstreetmap.org/way/1251874682,4d89e54803598cc9,ca
Antic emplaçament de la Holy Name Retreat House; era propietat i estava gestionat per la diòcesi catòlica de Green Bay.,no,,832740fffffffff,45.19913735,-87.34064065,description,us-wisconsin,https://www.openstreetmap.org/relation/11195573,ef1b719ae03b0453,ca
"Arts i entreteniment, escoles de dansa, estudis de dansa, activitats infantils, escoles de música, entitats sense ànim de lucre, escoles privades, professors particulars, art públic, club juvenil",no,San Angelo Broadway Academy,83488afffffffff,31.4527921,-100.46448895,description,us-texas,https://www.openstreetmap.org/way/782694783,27f525c411d99115,ca
Es troba a 20 minuts a peu de la ciutat oasi de M’hamid El Ghizlane.,no,Desert Camp Chraika,8338a4fffffffff,29.8385325,-5.7381302000000005,description,morocco,https://www.openstreetmap.org/way/1175183601,3e235c9d8355bc59,ca
grans pregàries,no,2nd biggest Mosque,8358b5fffffffff,9.454903250000001,0.81155555,description,togo,https://www.openstreetmap.org/way/403445668,51f860d83e26c40a,ca
Un lloc fantàstic per nedar.,no,Jhaji Beach,83640bfffffffff,11.388757049999999,92.5899435,description,india-southern-zone,https://www.openstreetmap.org/relation/9964540,42cbd0df454cc48c,ca
Zona coberta d'activitats gratuïtes,yes,,83a813fffffffff,-22.95501775,-47.054361,description,brazil-sudeste,https://www.openstreetmap.org/way/548704198,49b3ad4c9313791f,ca
"D'acord, al nord-oest (550 m utilitzables)",no,Pibor Airport,836a46fffffffff,6.79846435,33.126115299999995,description,south-sudan,https://www.openstreetmap.org/way/254760296,06ad8bca5b9e0ace,ca
Abandonat,no,BLC Gas Station,836940fffffffff,15.336570649999999,119.96618345,description,philippines,https://www.openstreetmap.org/way/1080703682,5e6b5a174f4e6e8a,ca
"Botiga de delicatessen local que serveix un esmorzar complet, entrepans amb pa acabat de coure i una varietat d'amanides casolanes.",no,Calabash Deli,832ad3fffffffff,33.8911925,-78.5662103,description,us-north-carolina,https://www.openstreetmap.org/way/349880224,081a02879c3a55a9,ca
Hamburgueses i cerveses,no,Kite Cable Cafe.,836589fffffffff,12.388952450000001,99.96708555000001,description,thailand,https://www.openstreetmap.org/way/321076261,5d7dd65f62b249e5,ca
"Només hi ha dutxes disponibles durant 4 hores poc convenients al dia (9–11, 21–23).",no,Rada Tilly Camping Municipal,83cf9efffffffff,-45.91740615,-67.55084740000001,description,argentina,https://www.openstreetmap.org/way/496391696,a50fa7112a365a2a,ca
abandonat,no,,830a2efffffffff,66.45463755,86.05173195,description,russia-siberian-fed-district,https://www.openstreetmap.org/way/204214264,f43bc8a1b83a25b4,ca
"Per a les restriccions i les activitats prohibides dins d'aquesta zona, es recomana als navegants que consultin el Reglament de 2020 de l'Àrea Marina Protegida Niuē Moana Mahu, d'acord amb la Llei de zones marítimes de Niue de 2013.",no,Niuē Moana Mahu Marine Protected Area,839ba5fffffffff,-20.3330657,-168.2733568,description,niue,https://www.openstreetmap.org/relation/13460178,f5a9a17080054b5e,ca
"Tarifa, inclòs el càrrec pel servei, per a 2 persones: Rs. 5889.15",no,National Park Office - Marine Park - Pigeon Island,836113fffffffff,8.69350235,81.1947702,description,sri-lanka,https://www.openstreetmap.org/way/658409583,930bf4390a6004ac,ca
Escalfament de l'aigua,no,Mariental Abattoir Solar Water Heating,83ad9dfffffffff,-24.560816350000003,17.9620812,description,namibia,https://www.openstreetmap.org/way/1085106308,4220b789641c75b1,ca
És possible que l'estructura ja no existeixi.,no,,836ac0fffffffff,1.0821684999999999,30.2394529,description,congo-democratic-republic,https://www.openstreetmap.org/way/635454166,b0fb6cddcdf4244e,ca
Obert al públic;,no,Swenson Forest Preserve,832754fffffffff,46.856983549999995,-91.09465929999999,description,us-wisconsin,https://www.openstreetmap.org/relation/10768565,da998f3729b6db77,ca
canals trenats,no,,8359a2fffffffff,15.67243465,-2.1903658999999998,description,mali,https://www.openstreetmap.org/way/683188553,42fcf317b6e0d476,ca
sense serveis a l'hivern,no,Mobilstellplatz Ottenschlag,831e33fffffffff,48.4239068,15.2275785,description,austria,https://www.openstreetmap.org/way/1433377208,ec1b06bffd05a147,ca
edifici construït,no,,839621fffffffff,-15.7420654,28.1708032,description,zambia,https://www.openstreetmap.org/way/508424914,f6254e484fc4012a,ca
Lloga tres habitacions independents,no,Casa El Chechy,834430fffffffff,22.616627049999998,-83.7097584,description,cuba,https://www.openstreetmap.org/way/655181725,c9273b8b3965b330,ca
Va encallar en un escull de corall el 2010,no,Nand Aparajita,836008fffffffff,10.54110005,72.61883485,description,india-southern-zone,https://www.openstreetmap.org/way/1481582099,07c5371c1c77df1c,ca
pista d'atletisme i camp de futbol?,yes,,832e01fffffffff,39.4783446,141.9493776,description,japan-tohoku,https://www.openstreetmap.org/way/929335762,f3b92f514916209a,ca
País constituent del Regne dels Països Baixos.,no,Aruba,836773fffffffff,12.54041475,-69.9654068,description,venezuela,https://www.openstreetmap.org/relation/1231749,ada65a916e621803,ca
Adquirit per Pieridae Energy el 2019,no,Waterton Gas Plant,8312c8fffffffff,49.307058049999995,-114.00047065,description,canada-alberta,https://www.openstreetmap.org/way/685968468,ec53bd73a7830fe1,ca
"Aquesta és la part més alta del VAB i, segons la JAXA, «El VAB fa 81 metres d'alçada, 64 metres d'amplada i 34,5 metres de profunditat».",no,,834b73fffffffff,30.40357835,130.97348465,description,japan-kyushu,https://www.openstreetmap.org/way/874877644,d51fed9ce5233386,ca
edifici annex al costat de la casa,yes,,836488fffffffff,17.713385350000003,95.20114095,description,myanmar,https://www.openstreetmap.org/way/690726088,5d9aaa49dc85073f,ca
edifici destinat a WYSEF,yes,WYSEF Building,832896fffffffff,44.6574896,-111.1083461,description,us-montana,https://www.openstreetmap.org/way/1337238568,fbbead90db822e4b,ca
Les salines de Makgadikgadi són el complex de planes salines més gran del món.,yes,Ntwetwe Pan,839746fffffffff,-20.529714,25.24333895,description,botswana,https://www.openstreetmap.org/relation/9468993,9fe96f2d3391781b,ca
Zona sota vigilància activa del trànsit,no,,833865fffffffff,39.05822685,8.4700571,description,italy,https://www.openstreetmap.org/way/973150204,16813ea64ca047e0,ca
Els departaments són: 1. Geografia i estudis ambientals; 2. Botànica; 3. Zoologia; 4. Estadística; 5. Enginyeria genètica; 6. Ciències humanes; 7. Psicologia clínica.,no,Sir Jagadish Chandra Bose Academic Building,833cf4fffffffff,24.37128115,88.63689685,description,bangladesh,https://www.openstreetmap.org/way/1095670066,a2eeffe7750dfd0d,ca
Ruïnes de la ciutat de Hun del 200 aC,yes,高昌故城 قوچۇ قەدىمىي شەھىرى,832586fffffffff,42.8552772,89.5277799,description,china-xinjiang,https://www.openstreetmap.org/way/187178575,73eff7ddcd11aa77,ca
embassament d'aigua artificial en terres de conreu,yes,,837ae5fffffffff,2.7130276999999996,41.85499055,description,somalia,https://www.openstreetmap.org/way/800424758,e9349189d8fe2b14,ca
"Una illa àrtica, part de Noruega però amb un codi de país FIPS dels EUA assignat.",yes,Jan Mayen,830704fffffffff,70.99315125,-8.50285025,description,norway,https://www.openstreetmap.org/relation/9353234,efcf5e159387bf28,ca
"Un article del 24-10-2017 afirma que l'illa Henderson, deshabitada, té la densitat més alta de residus plàstics del món a les seves platges.",yes,Henderson Island,83a1a4fffffffff,-24.3767563,-128.32430929999998,description,pitcairn-islands,https://www.openstreetmap.org/relation/10018175,c9b73d09aead8cf9,ca
Petita cabana per als guàrdies fronterers tadjiks,yes,Pre-border checkpoint,832088fffffffff,38.0657016,74.59119485,description,tajikistan,https://www.openstreetmap.org/way/667422638,5b36adcc8ec4e08c,ca
Casa de barques,yes,Boathouse,832b85fffffffff,46.1063144,-74.2799302,description,canada-quebec,https://www.openstreetmap.org/way/447096579,2dfb6326894c2651,ca
"The Well Tavern és un restaurant i pub familiar i compromès amb la comunitat, situat convenientment just a l'estació de tren de Wellard.",yes,The Well Tavern,83c993fffffffff,-32.26380305,115.81641765,description,australia,https://www.openstreetmap.org/way/1083219303,28c8ab5d69cb9c5a,ca
"Lloc on la gent de la comunitat es reuneix i practica diversos esports, com ara futbol, criquet, atletisme, etc.",yes,Nehru Maidan,833c5afffffffff,27.360602999999998,95.32529500000001,description,india-north-eastern-zone,https://www.openstreetmap.org/way/83589188,030f518825134c13,ca
Aquestes terres de conreu estan en desús,yes,The Enclosure,831828fffffffff,52.1974563,-6.35152295,description,ireland-and-northern-ireland,https://www.openstreetmap.org/way/751307989,fab4312e3706314a,ca
aparcament per a vehicles pesants,yes,,831845fffffffff,47.39530965,-2.422856,description,pays-de-la-loire,https://www.openstreetmap.org/way/480172434,dca36e40749b78fc,ca
Gorg per banyar-se,yes,Hog Harbour Blue Hole,839e11fffffffff,-15.1097946,167.0909198,description,vanuatu,https://www.openstreetmap.org/way/198585553,dc8b77da60a390e2,ca
Parc per a gossos de famílies i veïns,yes,,832af2fffffffff,36.69121975,-76.9908877,description,us-virginia,https://www.openstreetmap.org/way/636368477,d90b3a55624ad424,ca
embassament d'aigua natural en terres de conreu i prop d'un rierol,yes,,837a0cfffffffff,0.17023195,42.77724705,description,somalia,https://www.openstreetmap.org/way/1213086048,7f61bbfad667f435,ca
Antiga estació de tren abandonada,yes,,831f91fffffffff,45.6879712,5.35996065,description,rhone-alpes,https://www.openstreetmap.org/way/143728337,cef2a6edc7efadf8,ca
"Antiga mina d'urani (font de Fat Man i Little Boy), després mina de plata.",yes,Port Radium,83130cfffffffff,66.08544385,-118.03813625,description,canada-northwest-territories,https://www.openstreetmap.org/way/1281190890,584d96ec32388482,ca
Illa privada.,yes,Motu Irioa,838935fffffffff,-17.48568325,-149.90249145,description,polynesie-francaise,https://www.openstreetmap.org/way/213212127,154c2460bf268353,ca
Aparcament nocturn per a vehicles pesants i vehicles de càmping,yes,,83be4efffffffff,-34.76120965,142.2807966,description,australia,https://www.openstreetmap.org/way/1373258981,34cb8e155b789015,ca
Abandonat i recuperat pel bosc.,yes,Abandoned mango orchard,8364a6fffffffff,14.787642250000001,101.15383815000001,description,thailand,https://www.openstreetmap.org/way/459176228,5463fd64b44a84e3,ca
L'illa forma part del grup d'illes Heinze,yes,တောင်ပလ,8364acfffffffff,14.426995000000002,97.78161084999999,description,myanmar,https://www.openstreetmap.org/way/24948615,2eecb381f9c8495d,ca
"Reserva d'estoc públic i zona d'aparcament de camions, però sense senyalització.",yes,,83b911fffffffff,-34.47182865,135.6864915,description,australia,https://www.openstreetmap.org/way/1055657674,e05ca2b29c1f02aa,ca
Un càmping allunyat de la civilització.,yes,Green Dolphin Camping (Delfinul),831e5afffffffff,44.8929749,29.60429885,description,romania,https://www.openstreetmap.org/way/263969938,145908d208221903,ca
Escola de primària,yes,Escola Primária,83831afffffffff,-7.85952855,13.115223,description,angola,https://www.openstreetmap.org/way/705413867,e413dddab254967b,ca
camp de monticles,yes,,83acd6fffffffff,-17.141278550000003,11.7921213,description,angola,https://www.openstreetmap.org/way/1174004220,0813605767f7f9db,ca
"Dins del recinte hi ha un edifici únic anomenat Chedi Wihan Samphutthe, que conté 512.028 imatges de Buda i té 223 pagodes petites a la seva superfície exterior.",yes,วัดมณีไพรสณฑ์,836485fffffffff,16.716656399999998,98.5737649,description,thailand,https://www.openstreetmap.org/way/548044894,30b8b714a5f279ab,ca
Habitatge residencial delimitat per una àrea de terreny definida,yes,,838f6bfffffffff,-7.5721425,-72.7196889,description,brazil-norte,https://www.openstreetmap.org/way/914834959,e2cb5fdd892a2453,ca
torre de telefonia mòbil,yes,,83ac84fffffffff,-20.50122515,16.6906853,description,namibia,https://www.openstreetmap.org/way/788543279,eaa033e171c6b581,ca
"17 aerogeneradors, les ubicacions exactes dels quals encara no són visibles en les imatges aèries",yes,,835289fffffffff,11.5304113,42.49968965,description,djibouti,https://www.openstreetmap.org/way/978103331,aa096f9f38327983,ca
Aparcament per al personal i el professorat.,yes,,836d34fffffffff,19.161333550000002,-96.1116816,description,mexico,https://www.openstreetmap.org/way/113790464,fdd57d9b3b773e82,ca
antic edifici britànic,yes,,83649dfffffffff,18.94105325,96.4317958,description,myanmar,https://www.openstreetmap.org/way/417661715,bab65950404e2794,ca
Terreny sorrenc amb alguns arbres.,yes,Kgalagadi Nature Reserve Campsite,83ad86fffffffff,-26.77294325,20.632359649999998,description,botswana,https://www.openstreetmap.org/way/408601941,3cb3cee8655449e8,ca
Pagoda.,yes,Chua Linh Phuoc,836932fffffffff,13.166087749999999,109.131014,description,vietnam,https://www.openstreetmap.org/way/904885050,bf40ee907930e31c,ca
zona desforestada,yes,Berong Nickel Mine,83682afffffffff,9.4042229,118.23163124999999,description,philippines,https://www.openstreetmap.org/way/874182647,96567b01f142a005,ca
