sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url,source_item_id,language
"ईशान्य आफ्रिकेतील त्रिकोणी आकाराचा प्रदेश, ज्यावर इजिप्त आणि सुदान यांचा वाद आहे आणि ज्याचे प्रशासन इजिप्तकडे आहे.",no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614,332917270763f114,mr
खासगी टेनिसचे धडे उपलब्ध आहेत.,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064,9aac252603938bf9,mr
या परिसरातील अनेकांपैकी एक.,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915,8b35cc09a4fcea4c,mr
"11,000 मीटर उंचीवरून उड्डाण करताना रे मार्टिन यांनी योगायोगाने याचा शोध लावला.",no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915,e52f2c6daf4c67e0,mr
गरम पाण्याच्या झऱ्यांसाठी बदलण्याची खोली,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923,dbaf8c246c238ba4,mr
"“We of the Never Never” या चित्रपट/पुस्तकात उल्लेख केलेले काही पुरुष: Aeneas James Gunn, The Maluka, John McLennan, Tom Pearce, J.H. George Conway, William Cleary, Jack Angus Grant, Edward Liddle.",no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688,a4b350fa988b3ed7,mr
Köppen–Geiger हवामान वर्गीकरण प्रणालीमध्ये BW म्हणून वर्गीकृत ऑस्ट्रेलियाच्या मुख्य भूमीचे भाग.,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873,625e874a2fcd67a6,mr
या संरचनेचा एक कोपरा नसल्यासारखे दिसते.,no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727,9a79fc0926438312,mr
अतिथिगृह,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759,083f49bdf6a21995,mr
स्थानिक कलाकारांनी बनवलेल्या हस्तकला वस्तू विकतो.,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154,411885f8b3daaeb5,mr
आतील समकालीन सजावट आणि जिन्याचा गोलाकार मध्यभाग जतन करण्यात आला आहे.,no,"Beer, Sondheimer & Co. Gebäude",831faefffffffff,50.1159844,8.6676173,description,hessen,https://www.openstreetmap.org/way/42730588,6b03f260f8e42fab,mr
"क्वीन्सलँड, ऑस्ट्रेलियातील केप यॉर्क द्वीपकल्पाच्या पश्चिम बाजूस असलेल्या Weipa बॉक्साइट खाण, प्रक्रिया सुविधा आणि नगराला वीजपुरवठा केला जातो.",no,Weipa Solar Farm,839ce4fffffffff,-12.64685385,141.85648745,description,australia,https://www.openstreetmap.org/way/1229842269,1c891733227be641,mr
संशोधन विद्यार्थ्यांसाठी,no,ABU Institute lib,835818fffffffff,11.15120385,7.65502275,description,nigeria,https://www.openstreetmap.org/way/483941738,45361615e390b1a7,mr
भंगार धातू किंवा तसे काही?,no,,83540cfffffffff,15.16910425,-12.176872849999999,description,mauritania,https://www.openstreetmap.org/way/1079848653,8dfac4a3dba8ddef,mr
धावपट्टी?,yes,Airstrip,8352e6fffffffff,15.22977665,44.983853100000005,description,yemen,https://www.openstreetmap.org/way/798881102,e589688820307ef6,mr
माजी सोव्हिएत संघाने 1966 ते 1989 दरम्यान बुडवलेला अणुकचरा,no,,830111fffffffff,72.5,35.0,description,russia-northwestern-fed-district,https://www.openstreetmap.org/relation/11285920,e9088cc3698b77f3,mr
नेव्हिगेशनकडे जा,no,Launchpad 41/15,8321a9fffffffff,45.9736039,63.66350095,description,kazakhstan,https://www.openstreetmap.org/way/169401013,e316f8b8e6426ef9,mr
जून 2019 मध्ये खुले,no,Trison,8372d6fffffffff,-4.262987799999999,139.68465105,description,indonesia-papua,https://www.openstreetmap.org/way/767407882,e0c46181d6f78444,mr
प्लाया,yes,,8338d4fffffffff,26.347407500000003,1.4621255,description,algeria,https://www.openstreetmap.org/way/1251874682,4d89e54803598cc9,mr
Holy Name Retreat House चे माजी ठिकाण; Green Bay च्या कॅथोलिक धर्मप्रांताच्या मालकीचे/व्यवस्थापनाखाली होते.,no,,832740fffffffff,45.19913735,-87.34064065,description,us-wisconsin,https://www.openstreetmap.org/relation/11195573,ef1b719ae03b0453,mr
"कला आणि मनोरंजन, नृत्यशाळा, नृत्य स्टुडिओ, मुलांच्या क्रिया, संगीतशाळा, ना-नफा संस्था, खासगी शाळा, खासगी शिक्षक, सार्वजनिक कला, युवक क्लब",no,San Angelo Broadway Academy,83488afffffffff,31.4527921,-100.46448895,description,us-texas,https://www.openstreetmap.org/way/782694783,27f525c411d99115,mr
